timestamp,actiondata,latitude,longitude,xp,yp,roll,pitch,yaw,angular_velx,angular_vely,angular_velz
292000000,"[0, 0, 0, 0]",-33.72276903587454,150.67398824205466,-0.28,0.73,0.03,1.66,57.25,-0.00025,0.0155,0.012750000000000001
792000000,"[0, 0, 0, 0]",-33.722769039618136,150.67398825581645,-0.28,0.73,0.11,1.66,57.25,0.0055,0.00725,-0.00075
820000000,"[0, 0, 0, 0]",-33.722769040816324,150.67398825606372,-0.28,0.73,0.12,1.65,57.25,0.0105,0.02275,0.004
864000000,"[0, 0, 0, 0]",-33.722769042046124,150.67398825608785,-0.28,0.73,0.12,1.65,57.25,0.0035,0.0085,-0.0015
908000000,"[0, 0, 0, 0]",-33.72276904350693,150.67398825589513,-0.28,0.73,0.12,1.64,57.25,-0.001,-0.00175,-0.00675
988000000,"[0, 0, 0, 0]",-33.722769044968366,150.67398825551828,-0.28,0.73,0.12,1.64,57.25,-0.00375,0.0032500000000000003,-0.0055
12000000,"[0, 0, 0, 0]",-33.722769046667096,150.673988254899,-0.28,0.73,0.13,1.63,57.25,0.008,-0.003,0.012750000000000001
88000000,"[0, 0, 0, 0]",-33.722769048334996,150.67398825413767,-0.28,0.73,0.13,1.62,57.25,0.0032500000000000003,0.017750000000000002,0.0022500000000000003
152000000,"[1000, 1000, 1000, 1000]",-33.722769001933784,150.67398828642766,-0.27,0.74,0.12,1.51,57.25,-0.0185,-0.07775,-0.003
196000000,"[1000, 1000, 1000, 1000]",-33.72276883296977,150.6739884130356,-0.26,0.76,0.1,1.25,57.25,-0.0015,-0.1335,-0.001
220000000,"[1000, 1000, 1000, 1000]",-33.722768509342195,150.67398866085222,-0.24,0.79,0.1,0.8,57.25,-0.00725,-0.17500000000000002,0.00525
264000000,"[1000, 1000, 1000, 1000]",-33.722768078646446,150.673988993751,-0.21,0.84,0.1,0.2,57.24,0.010750000000000001,-0.21025,-0.0155
332000000,"[1000, 1000, 1000, 1000]",-33.72276746792295,150.67398946751877,-0.17,0.91,0.12,-0.49,57.24,0.0175,-0.18175,-0.00725
380000000,"[1000, 1000, 1000, 1000]",-33.722766772616424,150.67399000694442,-0.12,0.99,0.14,-0.88,57.24,0.00875,-0.15825,-0.01375
444000000,"[1000, 1000, 1000, 1000]",-33.72276588231,150.6739906961835,-0.05,1.08,0.16,-1.21,57.23,-0.00675,-0.09125,0.00375
480000000,"[1000, 1000, 1000, 1000]",-33.722764942442026,150.67399142155975,0.02,1.19,0.17,-1.37,57.23,-0.006500000000000001,-0.035750000000000004,0.01825
552000000,"[1000, 1000, 1000, 1000]",-33.72276380913439,150.67399229355726,0.1,1.31,0.17,-1.35,57.22,0.014750000000000001,0.04175,-0.00675
600000000,"[1000, 1000, 1000, 1000]",-33.72276267035592,150.6739931677168,0.18,1.44,0.17,-1.2,57.22,0.0015,0.08425,-0.006500000000000001
628000000,"[1000, 1000, 1000, 1000]",-33.722761352712254,150.67399417795633,0.27,1.59,0.15,-0.91,57.21,-0.00975,0.11375,-0.0145
668000000,"[1000, 1000, 1000, 1000]",-33.722760073678465,150.67399515860254,0.36,1.73,0.13,-0.5,57.2,0.00125,0.14575,-0.00925
716000000,"[1000, 1000, 1000, 1000]",-33.72275863556542,150.67399626244102,0.46,1.89,0.12,-0.09,57.19,0.00575,0.1545,0.01225
764000000,"[1000, 1000, 1000, 1000]",-33.72275727217539,150.67399731082435,0.56,2.04,0.12,0.26,57.19,-0.008,0.14625,0.00725
840000000,"[1000, 1000, 1000, 1000]",-33.72275576841309,150.6739984694488,0.67,2.21,0.12,0.74,57.18,0.007,0.15,-0.01875
876000000,"[1000, 1000, 1000, 1000]",-33.72275436477133,150.67399955263843,0.77,2.36,0.13,1.09,57.17,0.00425,0.11225,-0.0022500000000000003
948000000,"[1000, 1000, 1000, 1000]",-33.72275283552035,150.6740007335722,0.88,2.53,0.15,1.37,57.15,0.00675,0.066,-0.00125
996000000,"[1000, 1000, 1000, 1000]",-33.72275142160709,150.67400182503883,0.98,2.69,0.16,1.48,57.14,0.012750000000000001,0.04225,-0.0145
20000000,"[1000, 1000, 1000, 1000]",-33.722749891868666,150.67400300438536,1.09,2.86,0.16,1.52,57.13,0.0175,-0.005,-0.0165
64000000,"[1000, 1000, 1000, 1000]",-33.722748484034135,150.67400408781708,1.19,3.01,0.16,1.44,57.12,0.0035,-0.02225,-0.007
132000000,"[1000, 1000, 1000, 1000]",-33.72274696418902,150.67400525544798,1.3,3.18,0.15,1.28,57.11,-0.004,-0.04125,0.001
176000000,"[1000, 1000, 1000, 1000]",-33.72274556512233,150.67400632906657,1.4,3.34,0.14,1.02,57.1,-0.00475,-0.08700000000000001,-0.00525
240000000,"[1000, 1000, 1000, 1000]",-33.72274405088986,150.67400749078257,1.51,3.51,0.12,0.73,57.08,-0.0045000000000000005,-0.09775,-0.019
276000000,"[1000, 1000, 1000, 1000]",-33.72274265088254,150.67400856557373,1.6,3.66,0.1,0.41,57.07,-0.0095,-0.10425,-0.02
