                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52638,                 1.6022,                   1.15,                0.50225,                0.84127,                0.64543,                0.43872,                 1.0051,                 2.2744,                  1.286,             0.00036592,             0.00036592,             0.00036592
                      2,                0.36534,                0.73045,                 1.0055,                0.44766,                 0.7619,                0.42358,                0.15933,                 1.5731,                 3.1534,                  1.859,              0.0007071,              0.0007071,              0.0007071
                      3,                0.40418,                0.66359,                 1.0166,                0.77639,                0.93694,                0.89402,                0.76615,                0.69423,                  1.061,                0.90641,              0.0010189,              0.0010189,              0.0010189
                      4,                0.38516,                0.62573,                 1.0228,                0.98394,                0.97225,                 0.9908,                0.97248,                0.40412,                0.90275,                0.50353,             0.00097901,             0.00097901,             0.00097901
                      5,                0.39424,                0.62195,                 1.0262,                0.81926,                0.88889,                 0.8979,                0.63393,                  1.288,                  1.036,                 1.2814,             0.00097901,             0.00097901,             0.00097901
                      6,                0.36273,                0.55736,                 1.0013,                0.96141,                0.98413,                0.99257,                0.95672,                0.43147,                0.55022,                0.66193,             0.00093502,             0.00093502,             0.00093502
                      7,                0.32654,                0.52536,                0.97697,                0.99725,                      1,                  0.995,                  0.995,                0.30093,                0.45343,                0.47813,             0.00089102,             0.00089102,             0.00089102
                      8,                0.30794,                0.47051,                0.96032,                0.98748,                      1,                  0.995,                0.92666,                0.57977,                0.66908,                0.65929,             0.00084703,             0.00084703,             0.00084703
                      9,                 0.3045,                0.47114,                0.96337,                0.99909,                0.96825,                0.99378,                0.89483,                0.61492,                0.65545,                 0.8322,             0.00080303,             0.00080303,             0.00080303
                     10,                0.27251,                0.43423,                0.95708,                0.99887,                      1,                  0.995,                0.92451,                0.51597,                0.65084,                0.63698,             0.00075904,             0.00075904,             0.00075904
                     11,                0.25192,                0.40605,                0.92885,                0.92568,                0.98862,                0.99144,                0.97957,                0.33809,                0.40933,                0.47047,             0.00071504,             0.00071504,             0.00071504
                     12,                0.24519,                 0.4184,                0.94397,                0.99956,                      1,                  0.995,                0.85215,                0.54999,                0.71735,                0.65229,             0.00067104,             0.00067104,             0.00067104
                     13,                0.23817,                0.41347,                 0.9411,                0.99813,                      1,                  0.995,                0.98579,                0.23834,                0.33138,                0.39994,             0.00062705,             0.00062705,             0.00062705
                     14,                0.21523,                0.36604,                0.92022,                0.99972,                      1,                  0.995,                0.95947,                0.34032,                0.37315,                0.53806,             0.00058305,             0.00058305,             0.00058305
                     15,                0.19565,                0.34845,                 0.9181,                0.95051,                      1,                0.99279,                0.93005,                0.36231,                0.60123,                0.46249,             0.00053906,             0.00053906,             0.00053906
                     16,                0.17212,                 0.3033,                0.90167,                0.99472,                      1,                  0.995,                0.98207,                0.24868,                0.38403,                0.39317,             0.00049506,             0.00049506,             0.00049506
                     17,                0.18757,                0.26057,                0.91158,                0.99911,                      1,                  0.995,                  0.995,                0.22714,                0.33968,                0.41203,             0.00045107,             0.00045107,             0.00045107
                     18,                0.16866,                0.22808,                0.89048,                0.99918,                      1,                  0.995,                  0.995,                0.26713,                 0.2584,                0.42192,             0.00040707,             0.00040707,             0.00040707
                     19,                0.15033,                0.20126,                0.88014,                 0.9992,                      1,                  0.995,                  0.995,                0.17291,                0.29753,                0.26758,             0.00036307,             0.00036307,             0.00036307
                     20,                0.14413,                0.19836,                0.88931,                0.99918,                      1,                  0.995,                0.99428,                0.20889,                0.22488,                0.31612,             0.00031908,             0.00031908,             0.00031908
                     21,                0.13362,                0.17391,                0.88452,                0.99919,                      1,                  0.995,                  0.995,                0.15755,                 0.2707,                0.25827,             0.00027508,             0.00027508,             0.00027508
                     22,                0.12235,                 0.1564,                0.87489,                0.99918,                      1,                  0.995,                0.99424,                0.13334,                0.26231,                0.23456,             0.00023109,             0.00023109,             0.00023109
                     23,                 0.1143,                0.15141,                 0.8755,                0.99919,                      1,                  0.995,                0.99438,                0.17396,                0.28362,                0.27034,             0.00018709,             0.00018709,             0.00018709
                     24,                0.10905,                0.14571,                0.87238,                 0.9992,                      1,                  0.995,                0.99453,                0.19913,                0.30876,                0.30534,              0.0001431,              0.0001431,              0.0001431
                     25,                0.09937,                0.13548,                0.85277,                 0.9992,                      1,                  0.995,                  0.995,                0.15667,                0.23507,                0.24627,             9.9101e-05,             9.9101e-05,             9.9101e-05
