                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50074,                 2.1902,                 1.1418,                0.97417,                0.59869,                0.98844,                0.97064,                0.40248,                 2.4926,                0.60008,             0.00054244,             0.00054244,             0.00054244
                      2,                0.34796,                  1.223,                 1.0091,                   0.89,                0.93651,                0.91352,                0.42692,                  1.547,                 2.0578,                 2.2904,             0.00098939,             0.00098939,             0.00098939
                      3,                0.33189,                 1.0192,                0.99892,                0.70609,                0.73016,                0.75277,                0.67065,                0.57425,                 1.3746,                0.80399,              0.0013263,              0.0013263,              0.0013263
                      4,                0.31511,                0.86998,                0.97339,                0.51035,                0.72797,                0.59618,                0.40514,                0.77035,                 2.0461,                 1.0413,              0.0011719,              0.0011719,              0.0011719
                      5,                0.30466,                0.74492,                0.97763,                      1,                0.96433,                0.99409,                0.94075,                0.52819,                0.59023,                0.72678,              0.0011719,              0.0011719,              0.0011719
                      6,                0.27907,                0.63019,                0.96991,                0.96537,                0.96825,                0.98413,                0.98111,                0.25145,                0.64313,                 0.3972,              0.0010069,              0.0010069,              0.0010069
                      7,                0.25576,                0.55876,                0.94957,                      1,                0.97868,                0.99469,                 0.8753,                0.55231,                0.68706,                0.78525,             0.00084184,             0.00084184,             0.00084184
                      8,                 0.2259,                0.45735,                0.92618,                0.99695,                      1,                  0.995,                  0.995,                 0.2489,                0.41534,                0.37214,              0.0006768,              0.0006768,              0.0006768
                      9,                0.19801,                0.41928,                0.91291,                0.99917,                      1,                  0.995,                  0.995,                0.20736,                0.35375,                0.31585,             0.00051177,             0.00051177,             0.00051177
                     10,                0.17991,                0.37133,                0.90017,                0.99918,                      1,                  0.995,                  0.995,                0.25253,                0.37937,                0.38377,             0.00034674,             0.00034674,             0.00034674
