                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55194,                 1.4163,                 1.1582,                0.50494,                0.44444,                0.49553,                0.16551,                 2.6244,                 2.3233,                 2.2749,             0.00054905,             0.00054905,             0.00054905
                      2,                0.48876,                0.85723,                 1.0704,                0.15821,                0.53968,                0.15007,                0.04822,                 1.8483,                 3.2077,                 2.2322,               0.001061,               0.001061,               0.001061
                      3,                0.47349,                0.73764,                 1.0577,                0.71357,                0.80952,                0.78579,                0.50209,                0.83668,                 1.1776,                 0.8281,              0.0015289,              0.0015289,              0.0015289
                      4,                0.44833,                0.69029,                 1.0547,                0.98382,                0.96526,                0.99063,                0.92134,                0.55764,                0.67958,                0.90256,               0.001469,               0.001469,               0.001469
                      5,                0.43963,                0.70544,                 1.0546,                0.94152,                0.98413,                0.98543,                0.94464,                 0.6366,                 1.4746,                0.75678,               0.001469,               0.001469,               0.001469
                      6,                0.38357,                0.59682,                 1.0043,                0.68546,                0.85714,                0.89914,                0.73194,                0.63691,                 1.6268,                0.82092,              0.0014029,              0.0014029,              0.0014029
                      7,                0.35901,                 0.5791,                 1.0032,                0.99608,                      1,                  0.995,                0.94268,                0.43925,                0.44845,                0.67622,              0.0013369,              0.0013369,              0.0013369
                      8,                0.32636,                0.51439,                0.97686,                0.99548,                      1,                  0.995,                  0.995,                0.29616,                0.47662,                0.43931,              0.0012709,              0.0012709,              0.0012709
                      9,                 0.3303,                0.50378,                0.97803,                0.99742,                0.98413,                0.99469,                0.92896,                0.50079,                0.60374,                0.74721,              0.0012049,              0.0012049,              0.0012049
                     10,                0.29552,                0.49097,                0.96931,                0.99791,                      1,                  0.995,                0.98724,                 0.3272,                0.43372,                0.45034,              0.0011389,              0.0011389,              0.0011389
                     11,                0.29524,                0.46753,                0.95235,                  0.998,                      1,                  0.995,                0.99316,                 0.3562,                0.47529,                0.51273,              0.0010729,              0.0010729,              0.0010729
                     12,                0.27655,                0.44472,                0.95474,                0.99896,                      1,                  0.995,                0.94273,                0.32243,                0.49603,                0.49388,              0.0010069,              0.0010069,              0.0010069
                     13,                  0.246,                0.42572,                0.94117,                0.99839,                      1,                  0.995,                0.98983,                0.33329,                0.45854,                0.52061,             0.00094085,             0.00094085,             0.00094085
                     14,                0.23983,                0.40324,                0.93523,                      1,                0.99603,                  0.995,                0.99041,                0.29861,                0.51681,                0.45856,             0.00087484,             0.00087484,             0.00087484
                     15,                0.23183,                0.39816,                0.93579,                0.98317,                      1,                  0.995,                0.99276,                0.42002,                0.43377,                0.54943,             0.00080883,             0.00080883,             0.00080883
                     16,                0.18976,                0.33425,                 0.9097,                  0.999,                      1,                  0.995,                  0.995,                0.24452,                0.41366,                0.35051,             0.00074282,             0.00074282,             0.00074282
                     17,                0.17742,                0.27169,                0.90478,                0.99914,                      1,                  0.995,                0.99024,                0.20838,                0.37816,                0.28777,              0.0006768,              0.0006768,              0.0006768
                     18,                0.16868,                0.22619,                0.89297,                0.99884,                0.98413,                0.99297,                0.99105,                0.23379,                0.34235,                0.33747,             0.00061079,             0.00061079,             0.00061079
                     19,                0.16335,                0.21408,                0.88686,                0.99913,                      1,                  0.995,                  0.995,                0.21486,                 0.3743,                0.33093,             0.00054478,             0.00054478,             0.00054478
                     20,                0.15568,                  0.204,                0.89203,                0.99918,                      1,                  0.995,                0.99322,                0.20426,                0.29875,                0.31479,             0.00047876,             0.00047876,             0.00047876
                     21,                0.15056,                0.19741,                 0.8964,                0.99918,                      1,                  0.995,                  0.995,                0.20462,                0.37452,                0.31034,             0.00041275,             0.00041275,             0.00041275
                     22,                0.13244,                0.17906,                0.88451,                0.99918,                      1,                  0.995,                  0.995,                0.19508,                0.28579,                0.29955,             0.00034674,             0.00034674,             0.00034674
                     23,                0.12357,                0.16587,                0.88004,                0.99917,                      1,                  0.995,                  0.995,                0.19168,                0.32287,                0.28484,             0.00028072,             0.00028072,             0.00028072
                     24,                0.11503,                0.14718,                0.87648,                0.99919,                      1,                  0.995,                  0.995,                   0.22,                0.31167,                0.31577,             0.00021471,             0.00021471,             0.00021471
                     25,                0.11056,                0.14587,                0.85811,                 0.9992,                      1,                  0.995,                  0.995,                0.22986,                0.34024,                0.32396,              0.0001487,              0.0001487,              0.0001487
