                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7236,                 3.1039,                 1.1938,                0.98317,                    0.5,                0.57978,                0.32084,                 1.3381,                   1.72,                 1.0873,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.4717,                 1.4435,                 1.1443,                 0.7543,                0.78712,                0.83005,                 0.4274,                 1.3172,                 1.4444,                 1.1686,             0.00046429,             0.00046429,             0.00046429
                      3,                 1.4503,                 1.4119,                 1.2988,                0.32389,                0.85278,                0.40739,                0.14527,                 1.5307,                 7.0117,                 1.3844,             0.00067539,             0.00067539,             0.00067539
                      4,                   1.45,                 1.3716,                 1.2693,                0.14106,                0.97778,                0.14602,                0.08212,                 1.2843,                 4.6998,                 1.2738,             0.00086669,             0.00086669,             0.00086669
                      5,                 1.3683,                 1.0168,                 1.2112,                0.87745,                0.96667,                0.91836,                0.48231,                 1.3156,                 1.9204,                 1.2532,              0.0010382,              0.0010382,              0.0010382
                      6,                 1.4363,                 1.0668,                 1.2506,                0.85264,                0.81103,                0.90783,                0.50844,                 1.3233,                 1.3687,                 1.2849,              0.0011899,              0.0011899,              0.0011899
                      7,                 1.3542,                 1.1393,                 1.2519,                0.85826,                0.97778,                0.96803,                0.54031,                  1.186,                 1.6373,                 1.2289,              0.0012709,              0.0012709,              0.0012709
                      8,                  1.374,                 1.1135,                 1.2129,                0.93807,                0.98301,                0.98993,                0.54617,                 1.1799,                0.90661,                 1.2409,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.3778,                 1.0383,                 1.2395,                0.97973,                      1,                0.99462,                0.55947,                 1.3348,                 0.7749,                 1.3149,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.3104,                0.71591,                 1.1646,                0.99357,                      1,                  0.995,                0.53421,                 1.3114,                0.72731,                 1.2804,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.3164,                 0.7473,                 1.2021,                0.99343,                      1,                  0.995,                0.57656,                 1.2459,                0.67673,                  1.257,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.2759,                0.69024,                 1.1876,                 0.7915,                0.97778,                 0.8243,                0.44425,                 1.2485,                0.94811,                 1.2605,              0.0010069,              0.0010069,              0.0010069
                     13,                  1.278,                0.68108,                  1.192,                0.99106,                0.99444,                0.99489,                0.51546,                 1.2619,                0.72365,                 1.2552,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.2785,                0.64034,                 1.1478,                0.98974,                0.99444,                0.99489,                0.52528,                 1.2731,                0.68931,                 1.2584,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.3296,                0.63896,                 1.2337,                0.99565,                0.99908,                  0.995,                0.54927,                 1.2885,                  0.613,                 1.2947,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.3725,                0.64776,                 1.3245,                0.99554,                      1,                  0.995,                0.55134,                 1.2922,                0.66245,                 1.3235,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.3442,                0.63465,                 1.3045,                0.99058,                      1,                  0.995,                0.52962,                 1.2291,                0.61518,                 1.2474,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.3523,                 0.6344,                 1.2931,                0.99492,                      1,                  0.995,                0.53905,                 1.1928,                0.57864,                 1.2215,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.2684,                0.60044,                 1.2806,                0.98949,                      1,                  0.995,                0.56902,                 1.1718,                0.56734,                 1.2081,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.2375,                0.58544,                 1.2318,                0.98318,                      1,                  0.995,                0.56171,                 1.1864,                0.58712,                 1.2164,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.2714,                0.59551,                 1.2292,                0.99559,                      1,                  0.995,                0.55316,                 1.2377,                0.55697,                 1.2215,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.2553,                0.56475,                 1.2466,                0.98589,                      1,                  0.995,                 0.5649,                 1.2132,                0.54362,                 1.2159,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.2349,                 0.5613,                 1.2403,                0.99425,                      1,                  0.995,                0.58563,                 1.1708,                0.52045,                 1.2047,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.1993,                 0.5487,                 1.2249,                0.99508,                      1,                  0.995,                0.60007,                 1.1653,                0.50769,                 1.2072,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.1959,                0.53253,                  1.156,                0.99492,                      1,                  0.995,                0.59646,                 1.1618,                0.50351,                 1.2075,              0.0001487,              0.0001487,              0.0001487
